model,training_mode,subtype_name,n,accuracy,precision,recall,f1,auroc,specificity,recall_malignant,recall_benign,tn,fp,fn,tp
mobilenetv2,frozen,adenosis,444,0.5022522522522522,0.0,0.0,0.0,,0.5022522522522522,,0.5022522522522522,223,221,0,0
mobilenetv2,frozen,tubular_adenoma,247,0.8744939271255061,0.0,0.0,0.0,,0.8744939271255061,,0.8744939271255061,216,31,0,0
mobilenetv2,frozen,papillary_carcinoma,291,0.5189003436426117,1.0,0.5189003436426117,0.6832579185520362,,,0.5189003436426117,,0,0,140,151
mobilenetv2,frozen,ductal_carcinoma,219,0.8401826484018264,1.0,0.8401826484018264,0.913151364764268,,,0.8401826484018264,,0,0,35,184
mobilenetv2,frozen,mucinous_carcinoma,271,0.4612546125461255,1.0,0.4612546125461255,0.6313131313131313,,,0.4612546125461255,,0,0,146,125
mobilenetv2,finetuned,adenosis,444,0.5045045045045045,0.0,0.0,0.0,,0.5045045045045045,,0.5045045045045045,224,220,0,0
mobilenetv2,finetuned,tubular_adenoma,247,0.8340080971659919,0.0,0.0,0.0,,0.8340080971659919,,0.8340080971659919,206,41,0,0
mobilenetv2,finetuned,papillary_carcinoma,291,0.4845360824742268,1.0,0.4845360824742268,0.6527777777777778,,,0.4845360824742268,,0,0,150,141
mobilenetv2,finetuned,ductal_carcinoma,219,0.8858447488584474,1.0,0.8858447488584474,0.9394673123486683,,,0.8858447488584474,,0,0,25,194
mobilenetv2,finetuned,mucinous_carcinoma,271,0.45018450184501846,1.0,0.45018450184501846,0.6208651399491094,,,0.45018450184501846,,0,0,149,122
efficientnetb0,frozen,adenosis,444,0.6463963963963963,0.0,0.0,0.0,,0.6463963963963963,,0.6463963963963963,287,157,0,0
efficientnetb0,frozen,tubular_adenoma,247,0.9311740890688259,0.0,0.0,0.0,,0.9311740890688259,,0.9311740890688259,230,17,0,0
efficientnetb0,frozen,papillary_carcinoma,291,0.5120274914089347,1.0,0.5120274914089347,0.6772727272727272,,,0.5120274914089347,,0,0,142,149
efficientnetb0,frozen,ductal_carcinoma,219,0.9452054794520548,1.0,0.9452054794520548,0.971830985915493,,,0.9452054794520548,,0,0,12,207
efficientnetb0,frozen,mucinous_carcinoma,271,0.5535055350553506,1.0,0.5535055350553506,0.7125890736342043,,,0.5535055350553506,,0,0,121,150
efficientnetb0,finetuned,adenosis,444,0.6824324324324325,0.0,0.0,0.0,,0.6824324324324325,,0.6824324324324325,303,141,0,0
efficientnetb0,finetuned,tubular_adenoma,247,0.9149797570850202,0.0,0.0,0.0,,0.9149797570850202,,0.9149797570850202,226,21,0,0
efficientnetb0,finetuned,papillary_carcinoma,291,0.5738831615120275,1.0,0.5738831615120275,0.7292576419213974,,,0.5738831615120275,,0,0,124,167
efficientnetb0,finetuned,ductal_carcinoma,219,0.9452054794520548,1.0,0.9452054794520548,0.971830985915493,,,0.9452054794520548,,0,0,12,207
efficientnetb0,finetuned,mucinous_carcinoma,271,0.5756457564575646,1.0,0.5756457564575646,0.7306791569086651,,,0.5756457564575646,,0,0,115,156
mobilenetv2,frozen,phyllodes_tumor,453,0.5099337748344371,0.0,0.0,0.0,,0.5099337748344371,,0.5099337748344371,231,222,0,0
mobilenetv2,frozen,fibroadenoma,287,0.6341463414634146,0.0,0.0,0.0,,0.6341463414634146,,0.6341463414634146,182,105,0,0
mobilenetv2,frozen,lobular_carcinoma,626,0.7092651757188498,1.0,0.7092651757188498,0.8299065420560747,,,0.7092651757188498,,0,0,182,444
mobilenetv2,finetuned,phyllodes_tumor,453,0.5077262693156733,0.0,0.0,0.0,,0.5077262693156733,,0.5077262693156733,230,223,0,0
mobilenetv2,finetuned,fibroadenoma,287,0.6759581881533101,0.0,0.0,0.0,,0.6759581881533101,,0.6759581881533101,194,93,0,0
mobilenetv2,finetuned,lobular_carcinoma,626,0.6853035143769968,1.0,0.6853035143769968,0.8132701421800947,,,0.6853035143769968,,0,0,197,429
efficientnetb0,frozen,phyllodes_tumor,453,0.5894039735099338,0.0,0.0,0.0,,0.5894039735099338,,0.5894039735099338,267,186,0,0
efficientnetb0,frozen,fibroadenoma,287,0.6794425087108014,0.0,0.0,0.0,,0.6794425087108014,,0.6794425087108014,195,92,0,0
efficientnetb0,frozen,lobular_carcinoma,626,0.9137380191693291,1.0,0.9137380191693291,0.9549248747913188,,,0.9137380191693291,,0,0,54,572
efficientnetb0,finetuned,phyllodes_tumor,453,0.5916114790286976,0.0,0.0,0.0,,0.5916114790286976,,0.5916114790286976,268,185,0,0
efficientnetb0,finetuned,fibroadenoma,287,0.6689895470383276,0.0,0.0,0.0,,0.6689895470383276,,0.6689895470383276,192,95,0,0
efficientnetb0,finetuned,lobular_carcinoma,626,0.9217252396166135,1.0,0.9217252396166135,0.9592684954280964,,,0.9217252396166135,,0,0,49,577
